Skill,Count,Percentage,Definition,Evidence,Math Example
Symbolic Manipulation,12,8.88888888888889,The ability to symbolic manipulation in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Logical Deduction,12,8.88888888888889,The ability to logical deduction in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Verification,11,8.148148148148149,The ability to verification in mathematical problem-solving.,"The solver checks intermediate results to ensure correctness:
> ""Let's check if the probabilities sum to 1: P(X=0) + P(X=1) + P(X=2) + P(X=3) = 3/28 + 10/28 + 11/28 + 4/28 = 28/28 = 1""
> ""Let's double-check the calculations.""","Jackie and Phil have two fair coins and a third coin that comes up heads with probability $\frac47$ . Jackie flips the three coins, and then Phil flips the three coins. Let $\frac {m}{n}$ be the proba..."
Subgoal Setting,10,7.4074074074074066,The ability to subgoal setting in mathematical problem-solving.,The solver breaks down the main problem into smaller objectives.,"Anna and Berta play a game in which they take turns in removing marbles from a table. Anna takes the first turn. When at the beginning of the turn there are  $n\geq 1$  marbles on the table, then the ..."
Case Analysis,9,6.666666666666667,The ability to case analysis in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Abstraction,8,5.9259259259259265,The ability to abstraction in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Pattern Recognition,8,5.9259259259259265,The ability to pattern recognition in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Algorithmic Thinking,7,5.185185185185185,The ability to algorithmic thinking in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Forward Chaining,5,3.7037037037037033,The ability to forward chaining in mathematical problem-solving.,"The solver works from the given information (coin probabilities) toward the goal (probability of equal heads):
> ""The problem asks for the probability that Jackie and Phil get the same number of heads when each flips three coins...""
> [Proceeds through calculations to reach] ""The probability is 123/392.""","Jackie and Phil have two fair coins and a third coin that comes up heads with probability $\frac47$ . Jackie flips the three coins, and then Phil flips the three coins. Let $\frac {m}{n}$ be the proba..."
Backtracking,3,2.2222222222222223,The ability to backtracking in mathematical problem-solving.,"The solver abandons approaches that prove impractical:
- After calculating ""$3^{1.414214} = \sqrt[1000000]{3^{1414214}}$"", they note ""This is not practical.""
- ""Let's use the fact that $a^x \approx a^p (1 + (x-p) \ln a)$. But we don't have $\ln a$."" (abandons this approach)
- Tries multiple approaches to decompose the exponent before settling on the decimal expansion method","A simple calculator is given to you. (It contains 8 digits and only does the operations +,-,*,/, $ \sqrt{\mbox{}}$ ) How can you find  $ 3^{\sqrt{2}}$  with accuracy of 6 digits."
