Skill,Count,Percentage,Definition,Evidence,Math Example
Initial Condition Application,2,12.5,The ability to use given boundary or initial conditions to determine specific constants in a general solution.,"- ""Now, we apply the initial condition y(1)=1.""
- ""1 = e^β(1/(α+β) - 1/(α+β)²) + Ce^(-α)""
- ""C = e^α(1 - e^β(α+β-1)/(α+β)²)""","For any real numbers $\alpha$ and $\beta$, let $y_{\alpha, \beta}(x), x \in \mathbb{R}$, be the solution of the differential equation"
Systematic Problem Decomposition,1,6.25,Breaking down a complex problem into manageable sub-problems or cases to make the solution process more tractable.,"The solver divides the problem into two distinct cases:
- ""Case 1: α+β ≠ 0""
- ""Case 2: α+β = 0, so β = -α""","For any real numbers $\alpha$ and $\beta$, let $y_{\alpha, \beta}(x), x \in \mathbb{R}$, be the solution of the differential equation"
Procedural Fluency with Differential Equations,1,6.25,The ability to execute standard solution techniques for differential equations accurately and efficiently.,"- ""The integrating factor is e^∫αdx = e^αx""
- ""Multiplying the equation by the integrating factor, we get: e^αx dy/dx + αe^αx y = xe^βx e^αx""
- ""d/dx(ye^αx) = xe^(α+β)x""","For any real numbers $\alpha$ and $\beta$, let $y_{\alpha, \beta}(x), x \in \mathbb{R}$, be the solution of the differential equation"
Integration Technique Selection and Application,1,6.25,The ability to select and apply appropriate integration techniques based on the form of the integrand.,"- ""We use integration by parts for the integral on the right side. Let u=x, dv=e^(α+β)x dx. Then du=dx, v=1/(α+β)e^(α+β)x""
- ""∫xe^(α+β)x dx = x·1/(α+β)e^(α+β)x - ∫1/(α+β)e^(α+β)x dx""","For any real numbers $\alpha$ and $\beta$, let $y_{\alpha, \beta}(x), x \in \mathbb{R}$, be the solution of the differential equation"
Parameter Matching Strategy,1,6.25,The ability to determine specific parameter values by comparing coefficients of like terms in mathematical expressions.,"- ""Comparing coefficients of xe^x: 1/2 = 1/(α+1) ⟹ α+1 = 2 ⟹ α = 1""
- ""Comparing coefficients of e^x: -1/4 = -1/(α+1)² = -1/2² = -1/4. This matches.""","For any real numbers $\alpha$ and $\beta$, let $y_{\alpha, \beta}(x), x \in \mathbb{R}$, be the solution of the differential equation"
Verification and Cross,1,6.25,The process of validating a solution by ensuring it satisfies all conditions of the original problem.,"- For option A: ""This matches option (A). Here, α = 1, β = -α = -1.""
- For option C: ""So, for α=1, β=1, the solution y₁,₁(x) matches option (C).""","For any real numbers $\alpha$ and $\beta$, let $y_{\alpha, \beta}(x), x \in \mathbb{R}$, be the solution of the differential equation"
Strategic Transformation and Substitution,1,6.25,The ability to strategic transformation and substitution in mathematical problem-solving.,No evidence provided.,"A solution curve of the differential equation $\left(x^{2}+x y+4 x+2 y+4\right) \frac{d y}{d x}-y^{2}=0, x>0$, passes through the point $(1,3)$. Then the solution curve"
Pattern Recognition in Differential Equations,1,6.25,The ability to pattern recognition in differential equations in mathematical problem-solving.,No evidence provided.,"A solution curve of the differential equation $\left(x^{2}+x y+4 x+2 y+4\right) \frac{d y}{d x}-y^{2}=0, x>0$, passes through the point $(1,3)$. Then the solution curve"
Systematic Variable Separation and Integration,1,6.25,The ability to systematic variable separation and integration in mathematical problem-solving.,No evidence provided.,"A solution curve of the differential equation $\left(x^{2}+x y+4 x+2 y+4\right) \frac{d y}{d x}-y^{2}=0, x>0$, passes through the point $(1,3)$. Then the solution curve"
Analytical Intersection Analysis,1,6.25,The ability to analytical intersection analysis in mathematical problem-solving.,No evidence provided.,"A solution curve of the differential equation $\left(x^{2}+x y+4 x+2 y+4\right) \frac{d y}{d x}-y^{2}=0, x>0$, passes through the point $(1,3)$. Then the solution curve"
Systematic Decomposition,1,6.25,The ability to systematic decomposition in mathematical problem-solving.,No evidence provided.,"Every group of order $5\cdot7\cdot47=1645 is abelian, and cyclic. Is this true? Answer true or false."
Algebraic Manipulation and Simplification,1,6.25,The ability to transform complex equations into simpler forms through step-by-step algebraic operations.,"The extensive algebraic work from ""We are given that $A_1 = \frac{59}{58} A_2$..."" through multiple steps to arrive at ""$r = \frac{116s}{118 - s}$""",Let $P_1^{}$ be a regular $r~\mbox{gon}$ and $P_2^{}$ be a regular $s~\mbox{gon}$ $(r\geq s\geq 3)$ such that each interior angle of $P_1^{}$ is $\frac{59}{58}$ as large as each interior angle of $P_2...
Strategic Reassessment and Redirection,1,6.25,The ability to strategic reassessment and redirection in mathematical problem-solving.,No evidence provided.,"For any integer $k$, write $f_{k}(x)=\left(1+x^{2}\right)^{-1-k}$. When $k \geq 1$, find constants $c_{1}, c_{2}$ such that the function $y=\left(S f_{k}\right)(x)$ solves a second order differential ..."
Knowledge Activation and Application,1,6.25,The ability to knowledge activation and application in mathematical problem-solving.,No evidence provided.,"For any integer $k$, write $f_{k}(x)=\left(1+x^{2}\right)^{-1-k}$. When $k \geq 1$, find constants $c_{1}, c_{2}$ such that the function $y=\left(S f_{k}\right)(x)$ solves a second order differential ..."
Case,1,6.25,The ability to case in mathematical problem-solving.,No evidence provided.,"Let $A$ be a $2n \times 2n$ matrix, with entries chosen independently at random. Every entry is chosen to be 0 or 1, each with probability $1/2$. Find the expected value of $\det(A-A^t)$ (as a functio..."
