Skill,Count,Percentage,Definition,Evidence,Math Example
Strategic Case Analysis,2,4.545454545454546,The ability to strategic case analysis in mathematical problem-solving.,No evidence provided.,"Let  $G_1$  and  $G_2$  be two finite groups such that for any finite group  $H$ , the number of group homomorphisms from  $G_1$  to  $H$  is equal to the number of group homomorphisms from  $G_2$  to..."
Case,2,4.545454545454546,The ability to case in mathematical problem-solving.,No evidence provided.,"Let $A$ be a $2n \times 2n$ matrix, with entries chosen independently at random. Every entry is chosen to be 0 or 1, each with probability $1/2$. Find the expected value of $\det(A-A^t)$ (as a functio..."
Proof by Contradiction,2,4.545454545454546,The ability to proof by contradiction in mathematical problem-solving.,No evidence provided.,"<span style=""color:darkred""> Let  $(R,+,\cdot)$  be a ring and let  $f$  be a surjective endomorphism of  $R$  such that  $[x,f(x)]=0$  for any  $x\in R$  , where  $[a,b]=ab-ba$  ,  $a,b\in R$  . Prov..."
Theorem Application,2,4.545454545454546,The ability to theorem application in mathematical problem-solving.,No evidence provided.,"Every group of order $5\cdot7\cdot47=1645 is abelian, and cyclic. Is this true? Answer true or false."
Proof by Induction Reasoning,1,2.272727272727273,The ability to proof by induction reasoning in mathematical problem-solving.,No evidence provided.,"Let  $ G$  be a group such that if  $ a,b\in \mathbb{G}$  and  $ a^2b\equal{}ba^2$ , then  $ ab\equal{}ba$ ."
Homomorphism Construction,1,2.272727272727273,The ability to homomorphism construction in mathematical problem-solving.,No evidence provided.,"For any $n \geq 1$, let $A$ denote the $\mathbb{C}$ algebra consisting of $n \times n$ upper triangular complex matrices $\left\{\left(\begin{array}{ccc}* & * & * \\ 0 & * & * \\ 0 & 0 & *\end{array}\..."
Concrete Example Analysis,1,2.272727272727273,The ability to concrete example analysis in mathematical problem-solving.,No evidence provided.,Let  $n \geq 4$  be an even natural number and  $G$  be a subgroup of  $GL_2(\mathbb{C})$  with  $|G| = n.$  Prove that there exists  $H \leq G$  such that  $\{ I_2 \} \neq H$  and  $H \neq G$  such t...
Specialization and Generalization,1,2.272727272727273,The ability to specialization and generalization in mathematical problem-solving.,No evidence provided.,"For any $n \geq 1$, let $A$ denote the $\mathbb{C}$ algebra consisting of $n \times n$ upper triangular complex matrices $\left\{\left(\begin{array}{ccc}* & * & * \\ 0 & * & * \\ 0 & 0 & *\end{array}\..."
Structural Analysis,1,2.272727272727273,The ability to structural analysis in mathematical problem-solving.,No evidence provided.,Let  $ \mathcal G$  be the set of all finite groups with at least two elements.
Representation Theory Knowledge Application,1,2.272727272727273,The ability to representation theory knowledge application in mathematical problem-solving.,No evidence provided.,"For any $n \geq 1$, let $A$ denote the $\mathbb{C}$ algebra consisting of $n \times n$ upper triangular complex matrices $\left\{\left(\begin{array}{ccc}* & * & * \\ 0 & * & * \\ 0 & 0 & *\end{array}\..."
Dimensional Analysis,1,2.272727272727273,The ability to dimensional analysis in mathematical problem-solving.,No evidence provided.,Let  $ A$  be a family of proper closed subspaces of the Hilbert space  $ H\equal{}l^2$  totally ordered with respect to inclusion (that is
Basis Manipulation,1,2.272727272727273,The ability to basis manipulation in mathematical problem-solving.,No evidence provided.,"For any $n \geq 1$, let $A$ denote the $\mathbb{C}$ algebra consisting of $n \times n$ upper triangular complex matrices $\left\{\left(\begin{array}{ccc}* & * & * \\ 0 & * & * \\ 0 & 0 & *\end{array}\..."
Formal Logical Reasoning,1,2.272727272727273,The ability to formal logical reasoning in mathematical problem-solving.,No evidence provided.,Let  $G$  be a group with  $m$  elements and let  $H$  be a proper subgroup of  $G$  with  $n$  elements. For each  $x\in G$  we denote  $H^x = \{ xhx^{-1} \mid h \in H \}$  and we suppose that  $H^x ...
Set,1,2.272727272727273,The ability to set in mathematical problem-solving.,No evidence provided.,Let  $G$  be a group with  $m$  elements and let  $H$  be a proper subgroup of  $G$  with  $n$  elements. For each  $x\in G$  we denote  $H^x = \{ xhx^{-1} \mid h \in H \}$  and we suppose that  $H^x ...
Strategic Restart,1,2.272727272727273,The ability to strategic restart in mathematical problem-solving.,No evidence provided.,Let  $G$  be a group with  $m$  elements and let  $H$  be a proper subgroup of  $G$  with  $n$  elements. For each  $x\in G$  we denote  $H^x = \{ xhx^{-1} \mid h \in H \}$  and we suppose that  $H^x ...
