Skill,Count,Percentage,Definition,Evidence,Math Example
Case Analysis,27,8.571428571428571,The ability to case analysis in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Logical Deduction,24,7.6190476190476195,The ability to logical deduction in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Symbolic Manipulation,23,7.301587301587302,The ability to symbolic manipulation in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Verification,22,6.984126984126984,The ability to verification in mathematical problem-solving.,"The solver checks intermediate results to ensure correctness:
> ""Let's check if the probabilities sum to 1: P(X=0) + P(X=1) + P(X=2) + P(X=3) = 3/28 + 10/28 + 11/28 + 4/28 = 28/28 = 1""
> ""Let's double-check the calculations.""","Jackie and Phil have two fair coins and a third coin that comes up heads with probability $\frac47$ . Jackie flips the three coins, and then Phil flips the three coins. Let $\frac {m}{n}$ be the proba..."
Pattern Recognition,19,6.031746031746032,The ability to pattern recognition in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Subgoal Setting,18,5.714285714285714,The ability to subgoal setting in mathematical problem-solving.,The solver breaks down the main problem into smaller objectives.,"Anna and Berta play a game in which they take turns in removing marbles from a table. Anna takes the first turn. When at the beginning of the turn there are  $n\geq 1$  marbles on the table, then the ..."
Algorithmic Thinking,17,5.396825396825397,The ability to algorithmic thinking in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Abstraction,14,4.444444444444445,The ability to abstraction in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Inductive Reasoning,10,3.1746031746031744,The ability to inductive reasoning in mathematical problem-solving.,The solver attempts to generalize from specific examples to a pattern.,"Anna and Berta play a game in which they take turns in removing marbles from a table. Anna takes the first turn. When at the beginning of the turn there are  $n\geq 1$  marbles on the table, then the ..."
Backward Chaining,8,2.5396825396825395,The ability to backward chaining in mathematical problem-solving.,The solver starts with the goal (finding the sum of f(σ)) and works backward to identify what needs to be calculated (the sum of cycles).,"For a permutation $\sigma$ of $1,2, \ldots, 7$, a transposition is a swapping of two elements. Let $f(\sigma)$ be the minimum number of transpositions necessary to turn $\sigma$ into the permutation $..."
Constraint Analysis,6,1.9047619047619049,The ability to constraint analysis in mathematical problem-solving.,No evidence provided.,"Positive integers $a$ , $b$ , $c$ , and $d$ satisfy $a > b > c > d$ , $a + b + c + d = 2010$ , and $a^2 - b^2 + c^2 - d^2 = 2010$ . Find the number of possible values of $a$ ."
Proof Construction,6,1.9047619047619049,The ability to proof construction in mathematical problem-solving.,No evidence provided.,"Let be a group  $ G $  of order  $ 1+p, $  where  $ p $  is and odd prime. Show that if  $ p $  divides the number of automorphisms of  $ G, $  then  $ p\equiv 3\pmod 4. $"
Combinatorial Reasoning,5,1.5873015873015872,The ability to combinatorial reasoning in mathematical problem-solving.,"The solver applies combinatorial principles throughout:
- ""The total number of permutations is 5! = 120""
- ""Then α₃, α₄, α₅ is a permutation of {3, 4, 5}. There are 3! = 6 such permutations.""
- ""α₄, α₅ is a permutation of {4, 5}. 2! = 2 permutations.""

This shows application of counting principles and factorial calculations.","How many different permutations  $(\alpha_1 \alpha_2\alpha_3\alpha_4\alpha_5)$  of the set  $\{1,2,3,4,5\}$  are there such that  $(\alpha_1\dots \alpha_k)$  is not a permutation of the set  $\{1,\dot..."
Mathematical Modeling,5,1.5873015873015872,The ability to mathematical modeling in mathematical problem-solving.,No evidence provided.,1.2.2. A process called free convection occurs when the air density increases with altitude. At which values of $\Lambda$ does the free convection occur?
Backtracking,5,1.5873015873015872,The ability to backtracking in mathematical problem-solving.,"The solver abandons approaches that prove impractical:
- After calculating ""$3^{1.414214} = \sqrt[1000000]{3^{1414214}}$"", they note ""This is not practical.""
- ""Let's use the fact that $a^x \approx a^p (1 + (x-p) \ln a)$. But we don't have $\ln a$."" (abandons this approach)
- Tries multiple approaches to decompose the exponent before settling on the decimal expansion method","A simple calculator is given to you. (It contains 8 digits and only does the operations +,-,*,/, $ \sqrt{\mbox{}}$ ) How can you find  $ 3^{\sqrt{2}}$  with accuracy of 6 digits."
