Skill,Count,Percentage,Definition,Evidence,Math Example
Algebraic Manipulation,4,6.557377049180328,Transforming mathematical expressions using algebraic rules to reach more useful forms.,"> ""Using cot x = cos x/sin x and log 1/x = -log x:""
> ""D₂ = log₍ₑ₎(4/π) (cos²(θ+π/4)/sin(θ+π/4) - sin²(θ-π/4)/cos(θ-π/4))""","Let $|M|$ denote the determinant of a square matrix $M$. Let $g:\left[0, \frac{\pi}{2}\right] \rightarrow \mathbb{R}$ be the function defined by"
Problem Decomposition,4,6.557377049180328,"Breaking down a complex problem into smaller, more manageable components.","""Let's break down this problem step by step, combining physics principles and problem-solving strategies."" The solver then proceeds to organize their approach into distinct phases: understanding the problem, identifying key concepts, formulating a strategy, and executing step-by-step.","Astronomers are studying a star with a 1.4 solar radius and 1.2 solar masses. When the star's surface is not covered by dark spots, its Teff is 6000K. However, when 40% of its surface is covered by sp..."
Probabilistic Reasoning,3,4.918032786885246,The ability to probabilistic reasoning in mathematical problem-solving.,No evidence provided.,"FemtoPravis is walking on an $8 \times 8$ chessboard that wraps around at its edges (so squares on the left edge of the chessboard are adjacent to squares on the right edge, and similarly for the top ..."
Verification and Self,2,3.278688524590164,The ability to verification and self in mathematical problem-solving.,No evidence provided.,2.  The potential due to the line charge could be written as
Recursive Thinking,2,3.278688524590164,The ability to recursive thinking in mathematical problem-solving.,No evidence provided.,"You are given integrable random variables \( X, Y_0 \) and \( Z_0 \) on the same probability space \( (\Omega, \mathcal{F}, \mathbb{P}) \), and two \( \sigma \)-algebras \( \mathcal{A} \subset \mathca..."
Pattern Recognition,2,3.278688524590164,The ability to pattern recognition in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Case,2,3.278688524590164,The ability to case in mathematical problem-solving.,No evidence provided.,"Let $A$ be a $2n \times 2n$ matrix, with entries chosen independently at random. Every entry is chosen to be 0 or 1, each with probability $1/2$. Find the expected value of $\det(A-A^t)$ (as a functio..."
Problem Representation and Reformulation,2,3.278688524590164,The ability to translate a problem into a workable mental model and reformulate it in different ways to gain new insights.,"- ""We can think of this as a prefix code problem, but with a constraint on the first symbol.""
- ""Consider the structure of the code. It is a ternary tree for the first level, and binary trees for the subsequent levels.""
- ""Consider the analogy of a source with a ternary symbol followed by binary.""","Suppose the codeword that we use to describe a random variable X always starts with a symbol chosen from the set {7, 8, 9} , followed by binary digits {0, 1}. Thus we have a ternary code for the first..."
Self,1,1.639344262295082,Actively monitoring one's problem-solving process and identifying inconsistencies or errors.,"- ""Something is wrong, the probabilities should sum to 1.""
- ""Let's recheck the eigenvectors.""","The state $|\psi (t)>$ of a system at time t is given by the column matrix having elements (1/6, 0, 4/6). An operator P corresponding to an observable of the system is represented by the square matrix..."
Strategic Knowledge Retrieval,1,1.639344262295082,The ability to strategic knowledge retrieval in mathematical problem-solving.,No evidence provided.,"Let \( X(s, t) := \inf_{u \in [s,t]} \{W(u)\}, \) for standard Brownian motion \( W(t), \) starting at \( W(0) = 0. \) For any \( t > 1 \) and \( \varepsilon > 0, \) denote by \( f_{t, \varepsilon}(x)..."
Pattern Recognition in Recurrence Relations,1,1.639344262295082,The ability to identify patterns in recursive equations and determine their general solutions.,"The solver recognizes a pattern in the differences between consecutive terms:
> ""Let $d(y) = E(y) - E(y-1)$. Then the equation becomes: $d(y+1) = d(y) - 4$. This is a linear recurrence relation for $d(y)$.""","Freddy the frog is jumping around the coordinate plane searching for a river, which lies on the horizontal line $y = 24$ . A fence is located at the horizontal line $y = 0$ . On each jump Freddy rando..."
Conditional Probability Reasoning,1,1.639344262295082,The ability to conditional probability reasoning in mathematical problem-solving.,No evidence provided.,"Two three-letter strings, $aaa^{}_{}$ and $bbb^{}_{}$ , are transmitted electronically. Each string is sent letter by letter. Due to faulty equipment, each of the six letters has a 1/3 chance of being..."
Variable Definition and Formalization,1,1.639344262295082,The ability to variable definition and formalization in mathematical problem-solving.,No evidence provided.,"A biologist wants to calculate the number of fish in a lake. On May 1 she catches a random sample of 60 fish, tags them, and releases them. On September 1 she catches a random sample of 70 fish and fi..."
Proportional Reasoning,1,1.639344262295082,The ability to proportional reasoning in mathematical problem-solving.,No evidence provided.,"A biologist wants to calculate the number of fish in a lake. On May 1 she catches a random sample of 60 fish, tags them, and releases them. On September 1 she catches a random sample of 70 fish and fi..."
Systematic Problem Decomposition,1,1.639344262295082,Breaking down a complex problem into manageable sub-problems or cases to make the solution process more tractable.,"The solver divides the problem into two distinct cases:
- ""Case 1: α+β ≠ 0""
- ""Case 2: α+β = 0, so β = -α""","For any real numbers $\alpha$ and $\beta$, let $y_{\alpha, \beta}(x), x \in \mathbb{R}$, be the solution of the differential equation"
Equation Formulation,1,1.639344262295082,Converting geometric relationships into algebraic equations that can be solved.,"> ""The line EG passes through (0,0) and (5, h). The equation of the line is y = (h/5)x.""
> ""Area = (1/2) × 10 × (10 + (10 - 100/h)) = 5 × (20 - 100/h) = 100 - 500/h.""","Square $AIME$ has sides of length $10$ units.  Isosceles triangle $GEM$ has base $EM$ , and the area common to triangle $GEM$ and square $AIME$ is $80$ square units.  Find the length of the altitude t..."
Mathematical Reformulation,1,1.639344262295082,The ability to mathematical reformulation in mathematical problem-solving.,No evidence provided.,"Let \( X(s, t) := \inf_{u \in [s,t]} \{W(u)\}, \) for standard Brownian motion \( W(t), \) starting at \( W(0) = 0. \) For any \( t > 1 \) and \( \varepsilon > 0, \) denote by \( f_{t, \varepsilon}(x)..."
Strategic Simplification,1,1.639344262295082,The ability to strategic simplification in mathematical problem-solving.,No evidence provided.,Square $ABCD$ is inscribed in a circle. Square $EFGH$ has vertices $E$ and $F$ on $\overline{CD}$ and vertices $G$ and $H$ on the circle. The ratio of the area of square $EFGH$ to the area of square $...
Variance,1,1.639344262295082,The ability to variance in mathematical problem-solving.,No evidence provided.,What is the smallest number of standard deviations from the mean that we must go if we want to ensure that we have at least 50% of the data of a distribution?
Independence Recognition and Application,1,1.639344262295082,The ability to independence recognition and application in mathematical problem-solving.,No evidence provided.,"Two three-letter strings, $aaa^{}_{}$ and $bbb^{}_{}$ , are transmitted electronically. Each string is sent letter by letter. Due to faulty equipment, each of the six letters has a 1/3 chance of being..."
Mathematical Knowledge Activation,1,1.639344262295082,The ability to mathematical knowledge activation in mathematical problem-solving.,No evidence provided.,"Let $v$ and $w$ be distinct, randomly chosen roots of the equation $z^{1997}-1=0.$  Find the probability that"
Probabilistic Modeling,1,1.639344262295082,The ability to probabilistic modeling in mathematical problem-solving.,No evidence provided.,"Two three-letter strings, $aaa^{}_{}$ and $bbb^{}_{}$ , are transmitted electronically. Each string is sent letter by letter. Due to faulty equipment, each of the six letters has a 1/3 chance of being..."
Algebraic Manipulation and Simplification,1,1.639344262295082,The ability to transform complex equations into simpler forms through step-by-step algebraic operations.,"The extensive algebraic work from ""We are given that $A_1 = \frac{59}{58} A_2$..."" through multiple steps to arrive at ""$r = \frac{116s}{118 - s}$""",Let $P_1^{}$ be a regular $r~\mbox{gon}$ and $P_2^{}$ be a regular $s~\mbox{gon}$ $(r\geq s\geq 3)$ such that each interior angle of $P_1^{}$ is $\frac{59}{58}$ as large as each interior angle of $P_2...
Case Analysis and Enumeration,1,1.639344262295082,The ability to case analysis and enumeration in mathematical problem-solving.,No evidence provided.,"Find the number of permutations of $1, 2, 3, 4, 5, 6$ such that for each $k$ with $1$ $\leq$ $k$ $\leq$ $5$ , at least one of the first $k$ terms of the permutation is greater than $k$ ."
Mathematical Formalization,1,1.639344262295082,Converting a verbal problem description into precise mathematical notation and structures.,"The solver immediately translates the problem statement into mathematical form:
- ""The state vector is given by $|\psi (t)> = \begin{pmatrix} 1/6 \\ 0 \\ 4/6 \end{pmatrix}$.""
- ""The operator P is given by the matrix $P = \begin{pmatrix} \sqrt{2} & 0 & 0 \\ 0 & 1/\sqrt{2} & i/\sqrt{2} \\ 0 & -i/\sqrt{2} & 1/\sqrt{2} \end{pmatrix}$.""","The state $|\psi (t)>$ of a system at time t is given by the column matrix having elements (1/6, 0, 4/6). An operator P corresponding to an observable of the system is represented by the square matrix..."
Theorem Application,1,1.639344262295082,The ability to theorem application in mathematical problem-solving.,No evidence provided.,"Every group of order $5\cdot7\cdot47=1645 is abelian, and cyclic. Is this true? Answer true or false."
Geometric Insight,1,1.639344262295082,The ability to geometric insight in mathematical problem-solving.,No evidence provided.,"Let $ABCD$ be a convex quadrilateral with $AB = CD = 10$ , $BC = 14$ , and $AD = 2\sqrt{65}$ . Assume that the diagonals of $ABCD$ intersect at point $P$ , and that the sum of the areas of triangles $..."
Problem Representation and Formalization,1,1.639344262295082,The ability to problem representation and formalization in mathematical problem-solving.,No evidence provided.,"FemtoPravis is walking on an $8 \times 8$ chessboard that wraps around at its edges (so squares on the left edge of the chessboard are adjacent to squares on the right edge, and similarly for the top ..."
Problem Representation and Modeling,1,1.639344262295082,The ability to problem representation and modeling in mathematical problem-solving.,No evidence provided.,"Dave arrives at an airport which has twelve gates arranged in a straight line with exactly $100$ feet between adjacent gates. His departure gate is assigned at random. After waiting at that gate, Dave..."
Decomposition of Complex Problems,1,1.639344262295082,The ability to decomposition of complex problems in mathematical problem-solving.,No evidence provided.,"FemtoPravis is walking on an $8 \times 8$ chessboard that wraps around at its edges (so squares on the left edge of the chessboard are adjacent to squares on the right edge, and similarly for the top ..."
Modular Arithmetic Application,1,1.639344262295082,The ability to modular arithmetic application in mathematical problem-solving.,No evidence provided.,"FemtoPravis is walking on an $8 \times 8$ chessboard that wraps around at its edges (so squares on the left edge of the chessboard are adjacent to squares on the right edge, and similarly for the top ..."
Pattern Recognition in Combinatorial Structures,1,1.639344262295082,The ability to pattern recognition in combinatorial structures in mathematical problem-solving.,No evidence provided.,"FemtoPravis is walking on an $8 \times 8$ chessboard that wraps around at its edges (so squares on the left edge of the chessboard are adjacent to squares on the right edge, and similarly for the top ..."
Complex Analysis and Generating Functions,1,1.639344262295082,The ability to complex analysis and generating functions in mathematical problem-solving.,No evidence provided.,"FemtoPravis is walking on an $8 \times 8$ chessboard that wraps around at its edges (so squares on the left edge of the chessboard are adjacent to squares on the right edge, and similarly for the top ..."
Strategic Knowledge Application,1,1.639344262295082,The ability to identify and apply domain-specific knowledge and algorithms that are relevant to the problem at hand.,"- ""Let's consider a Huffman-like approach, but adapted for this constraint.""
- ""Let's consider the Kraft-McMillan inequality. For unique decodability, $\sum D^{-l_i} \le 1$.""
- ""Optimal binary prefix code for probabilities $q_1, q_2, ..., q_k$ is given by Huffman coding.""","Suppose the codeword that we use to describe a random variable X always starts with a symbol chosen from the set {7, 8, 9} , followed by binary digits {0, 1}. Thus we have a ternary code for the first..."
Systematic Exploration of Solution Space,1,1.639344262295082,"The methodical investigation of different possible approaches or solution paths, often involving the generation and testing of multiple options.","- ""Option 1: Assign the 3 highest probabilities to the 3 starting symbols...""
- ""Option 2: Balance the probabilities...""
- ""Let's try building the code greedily.""
- ""Example grouping: Group 7: 10/69, 8/69, 8/69... Group 8: 16/69, 15/69... Group 9: 12/69.""","Suppose the codeword that we use to describe a random variable X always starts with a symbol chosen from the set {7, 8, 9} , followed by binary digits {0, 1}. Thus we have a ternary code for the first..."
Quantitative Reasoning and Calculation,1,1.639344262295082,"The ability to work with numerical values, perform calculations, and reason about quantitative relationships.","- ""Expected length = 1 * (16+15+12)/69 + 2 * 10/69 + 3 * 8/69 + 3 * 8/69 = 43/69 + 20/69 + 24/69 + 24/69 = 111/69.""
- ""Group 1 (starts with 7): combine the smallest probabilities. 8/69 + 8/69 = 16/69.""
- ""Group 7: probabilities $p_{i \in I_7}$. Need a binary code for these probabilities.""","Suppose the codeword that we use to describe a random variable X always starts with a symbol chosen from the set {7, 8, 9} , followed by binary digits {0, 1}. Thus we have a ternary code for the first..."
Metacognitive Monitoring and Regulation,1,1.639344262295082,"The awareness and control of one's own thinking processes, including recognizing when a strategy isn't working and adjusting accordingly.","- ""This grouping seems arbitrary. We need a systematic way.""
- ""Let's rethink the approach. We want to minimize the expected length L = $\sum p_i l_i$.""
- ""Let's go back to the probabilities. Sort them: 16, 15, 12, 10, 8, 8.""","Suppose the codeword that we use to describe a random variable X always starts with a symbol chosen from the set {7, 8, 9} , followed by binary digits {0, 1}. Thus we have a ternary code for the first..."
"Decomposition and Hierarchical Analysis

Identified Skills",1,1.639344262295082,"The ability to decomposition and hierarchical analysis

identified skills in mathematical problem-solving.",No evidence provided.,"Suppose the codeword that we use to describe a random variable X always starts with a symbol chosen from the set {7, 8, 9} , followed by binary digits {0, 1}. Thus we have a ternary code for the first..."
Theorem Recognition and Application,1,1.639344262295082,The ability to theorem recognition and application in mathematical problem-solving.,No evidence provided.,"You are given integrable random variables \( X, Y_0 \) and \( Z_0 \) on the same probability space \( (\Omega, \mathcal{F}, \mathbb{P}) \), and two \( \sigma \)-algebras \( \mathcal{A} \subset \mathca..."
Notation Management,1,1.639344262295082,The ability to notation management in mathematical problem-solving.,No evidence provided.,"You are given integrable random variables \( X, Y_0 \) and \( Z_0 \) on the same probability space \( (\Omega, \mathcal{F}, \mathbb{P}) \), and two \( \sigma \)-algebras \( \mathcal{A} \subset \mathca..."
